seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
3,001683;100;0
6,011785;100;0
9,076621;100;0
12,09109;88,88889;0
15,09276;85,18519;0
18,10904;81,48148;0
21,11942;81,48148;0
24,12591;85,18519;0
27,14838;85,18519;0
30,1558;81,48148;0
33,16822;81,48148;0
36,17936;81,48148;0
39,18197;81,48148;0
42,18596;77,77778;0
45,20449;55,55556;0
48,22243;77,77778;0
51,24484;77,77778;0
54,26631;77,77778;0
57,27773;81,48148;0
60,27843;81,48148;0
63,28919;81,48148;0
66,30514;81,48148;0
69,32542;81,48148;0
72,33243;81,48148;0
75,34591;77,77778;1,769616
78,36822;77,77778;1,70137
81,37415;81,48148;1,638522
84,39356;81,48148;3,159799
87,39873;77,77778;4,576725
90,43094;59,25926;4,423265
93,44575;77,77778;7,134264
96,46863;81,48148;6,910709
99,47586;85,18519;6,701794
102,4806;81,48148;6,505295
105,4948;81,48148;7,583313
108,51;81,48148;8,601355
111,5533;81,48148;9,561944
114,5667;81,48148;10,47425
117,5876;81,48148;12,47297
120,5991;81,48148;13,2671
123,6109;81,48148;12,94384
126,6147;62,96296;12,63676
129,6254;77,77778;12,34326
132,6481;74,07407;12,06199
135,657;77,77778;12,77733
138,6587;77,77778;13,46231
141,6704;74,07407;13,17612
144,682;88,88889;12,90186
147,6982;88,88889;12,63839
150,7164;88,88889;13,26995
153,724;88,88889;13,87769
156,7479;81,48148;13,60997
159,7686;81,48148;14,18719
162,7845;81,48148;14,74342
165,787;81,48148;15,28065
168,8086;81,48148;15,00713
171,8157;81,48148;15,52051
174,8488;88,88889;15,25127
177,8657;88,88889;16,49184
180,8873;88,88889;16,21636
183,8916;88,88889;15,95143
186,9106;88,88889;15,69378
189,9429;92,59259;15,44324
192,9532;88,88889;15,20231
195,962;55,55556;14,96889
198,963;55,55556;14,74311
201,9764;55,55556;14,52315
204,9779;77,77778;14,31049
207,9937;66,66666;14,74404
210,9948;62,96296;15,16625
214,0244;59,25926;14,95157
217,0509;81,48148;15,35738
220,0659;96,2963;15,75285
223,0849;81,48148;16,13736
226,0901;48,14815;16,51259
229,104;48,14815;16,29536
232,125;48,14815;16,08329
235,1385;48,14815;15,87717
238,1725;48,14815;15,67491
241,1776;44,44444;15,4796
244,1891;51,85185;15,83473
247,2093;51,85185;15,64126
250,2097;48,14815;16,51948
253,2276;48,14815;16,84914
256,2337;48,14815;16,65147
259,2517;48,14815;16,45762
262,2598;96,2963;17,28566
265,2764;96,2963;17,59172
268,2789;55,55556;17,39483
271,2881;48,14815;18,18485
274,3101;51,85185;17,98451
277,3316;55,55556;18,26935
280,334;62,96296;18,07368
283,3593;40,74074;17,88072
286,3735;40,74074;17,69251
289,3904;44,44444;17,50807
292,3962;40,74074;17,32809
295,4106;66,66666;17,15127
298,4131;92,59259;16,9787
301,4435;37,03704;16,80802
304,4498;37,03704;16,64204
307,4688;33,33333;16,47864
310,4734;33,33333;16,31916
313,4861;40,74074;16,16233
316,4991;55,55556;16,00847
319,5121;96,2963;15,85751
322,5137;96,2963;16,12334
325,5202;96,2963;16,79363
328,5368;96,2963;16,63944
331,5433;96,2963;17,29286
334,5622;96,2963;17,13682
337,5634;96,2963;16,98446
340,5814;96,2963;16,83396
343,5889;92,59259;16,68661
346,6047;77,77778;17,31078
349,6148;77,77778;17,16174
352,6331;74,07407;17,01485
355,6458;74,07407;16,87072
358,6509;74,07407;16,72936
361,6584;74,07407;16,95891
364,6589;74,07407;16,81937
367,6838;74,07407;16,681
370,6995;81,48148;16,90498
373,7068;81,48148;16,76894
376,7252;81,48148;16,63459
379,7424;81,48148;17,20465
382,7619;77,77778;17,41727
385,7666;77,77778;17,62724
388,7863;77,77778;17,83328
391,806;77,77778;17,69583
394,8183;81,48148;17,89853
397,8242;85,18519;18,09845
400,8288;85,18519;18,29543
403,8594;85,18519;18,15813
406,8811;81,48148;18,35098
409,8855;66,66666;18,21647
412,9055;85,18519;18,72906
415,9106;85,18519;18,91432
418,9106;85,18519;19,73372
421,9284;81,48148;19,90859
424,9454;81,48148;19,76724
427,9909;77,77778;19,93812
431,0099;85,18519;20,10781
434,0258;92,59259;20,27529
437,0463;88,88889;20,13517
440,0491;81,48148;20,30076
443,0632;81,48148;20,16266
446,0718;74,07407;20,02667
449,0878;62,96296;20,18908
452,098;62,96296;20,34957
455,1014;66,66666;20,21527
458,1154;70,37037;20,08228
461,1327;70,37037;19,95087
464,14;70,37037;19,82161
467,156;70,37037;19,97905
470,1564;70,37037;19,85155
473,1646;74,07407;19,72534
476,1906;74,07407;19,59999
479,2039;74,07407;19,75499
482,2081;74,07407;19,63191
485,209;74,07407;19,78529
488,2327;74,07407;19,93585
491,2359;74,07407;20,0854
494,292;74,07407;19,96121
497,3022;70,37037;20,1085
500,3088;66,66666;19,98766
503,3245;62,96296;19,8679
506,3454;66,66666;20,01269
509,3454;66,66666;20,15659
512,368;59,25926;20,03768
515,3867;62,96296;20,69644
518,3951;62,96296;20,57632
521,401;66,66666;20,71342
524,4232;66,66666;20,8483
527,4318;66,66666;20,72938
530,4433;66,66666;20,61169
533,4541;66,66666;20,7453
536,4554;81,48148;20,62924
539,4677;85,18519;20,76121
542,4759;77,77778;20,64608
545,4915;70,37037;20,53194
548,5115;59,25926;20,4189
551,5145;62,96296;20,30772
554,537;62,96296;20,19703
557,5622;55,55556;20,08745
560,5665;48,14815;20,21764
563,5782;37,03704;20,1096
566,588;48,14815;20,00278
569,5939;48,14815;20,36539
572,6058;66,66666;20,49112
575,629;74,07407;20,3835
578,6295;74,07407;20,50823
581,63;70,37037;20,63167
584,6495;77,77778;20,52512
587,6598;74,07407;20,64687
590,6632;70,37037;20,76761
593,6737;77,77778;20,6623
596,6971;62,96296;20,55761
599,7069;44,44444;20,45444
602,7274;51,85185;20,35193
605,7279;66,66666;20,25112
608,7534;66,66666;20,15047
611,7756;66,66666;20,05092
614,7776;66,66666;19,95301
617,7866;66,66666;19,85583
620,8087;66,66666;19,97395
623,816;66,66666;20,09139
626,8161;66,66666;20,20795
629,8258;66,66666;20,11138
632,8425;66,66666;20,01551
635,864;66,66666;20,13009
638,8838;66,66666;20,03494
641,9025;66,66666;19,94072
644,9103;66,66666;19,84772
647,9249;66,66666;20,16694
650,9416;66,66666;20,07349
653,9427;70,37037;19,98136
656,9568;70,37037;20,2956
659,9659;70,37037;20,20306
662,9814;70,37037;20,11117
665,9952;70,37037;20,02016
669,0127;70,37037;20,32846
672,0142;70,37037;20,43608
675,0344;70,37037;20,34464
678,0512;70,37037;20,45077
681,0699;66,66666;20,36012
684,086;66,66666;20,46526
687,1228;66,66666;20,56886
690,1445;70,37037;20,672
693,1563;70,37037;20,77454
696,181;74,07407;20,68428
699,1992;74,07407;20,59499
702,1999;74,07407;20,69686
705,2021;70,37037;20,79782
708,2083;70,37037;20,70954
711,22;70,37037;20,62184
714,2394;70,37037;20,53466
717,266;74,07407;20,44802
720,2717;74,07407;20,36269
723,2932;74,07407;20,46197
726,2971;74,07407;20,7445
729,3206;74,07407;20,6585
732,3276;70,37037;20,75574
735,3337;70,37037;21,03354
738,3533;70,37037;21,1281
741,3589;74,07407;21,04244
744,3772;70,37037;21,13624
747,3932;70,37037;21,22934
750,426;70,37037;21,14355
753,4564;70,37037;21,05851
756,4691;70,37037;20,97464
759,4777;74,07407;20,89155
762,4821;74,07407;20,9841
765,5026;74,07407;21,07548
768,5247;74,07407;21,16609
771,5289;74,07407;21,42931
774,5386;74,07407;21,34604
777,5499;74,07407;21,26337
780,5645;74,07407;21,18125
783,5823;70,37037;21,09968
786,5889;66,66666;21,18854
789,5964;70,37037;21,10783
792,6184;51,85185;21,19557
795,6338;70,37037;21,4504
798,6361;77,77778;21,36976
801,6425;77,77778;21,45595
804,6553;74,07407;21,37561
807,674;66,66666;21,46081
810,6908;66,66666;21,38094
813,7124;66,66666;21,30155
816,7366;77,77778;21,38592
819,7543;70,37037;21,3072
822,758;66,66666;21,22941
825,7765;59,25926;21,15181
828,7885;62,96296;21,23582
831,8074;62,96296;21,31904
834,8234;66,66666;21,24202
837,8444;44,44444;21,32456
840,8491;44,44444;21,24836
843,8666;44,44444;21,33039
846,8682;44,44444;21,41222
849,8771;48,14815;21,4933
852,8943;51,85185;21,41727
855,9047;44,44444;21,49772
858,909;48,14815;21,42253
861,912;44,44444;21,34789
864,9136;44,44444;21,2738
867,9369;40,74074;21,1997
870,9384;44,44444;21,12664
873,9404;40,74074;21,05407
876,9485;33,33333;20,98185
879,9511;33,33333;21,06178
882,9673;33,33333;20,98983
885,9826;40,74074;20,9184
888,9888;48,14815;20,84766
891,9968;62,96296;20,77736
895,0082;51,85185;20,85642
898,0184;44,44444;20,78651
901,0246;44,44444;20,71716
904,0472;51,85185;20,64789
907,0491;55,55556;20,57955
910,0559;62,96296;20,65807
913,0699;62,96296;20,58988
916,0866;66,66666;20,52208
919,0999;66,66666;20,59986
922,1114;66,66666;20,53259
925,1248;66,66666;20,75396
928,145;66,66666;20,83008
931,1668;66,66666;20,76248
934,1708;66,66666;20,83844
937,1885;59,25926;21,05589
940,193;55,55556;21,13041
943,2095;62,96296;21,2042
946,2255;74,07407;21,41843
949,236;74,07407;21,49097
952,2444;70,37037;21,42307
955,2462;74,07407;21,35575
958,2602;74,07407;21,28858
961,2789;74,07407;21,22173
964,2921;74,07407;21,15542
967,2955;74,07407;21,22757
970,296;74,07407;21,16193
973,3099;62,96296;21,0964
976,3879;74,07407;21,02989
979,394;74,07407;21,10148
982,4001;66,66666;21,03691
985,4273;70,37037;20,97229
988,4517;66,66666;20,90812
991,4554;62,96296;20,84478
994,4567;66,66666;21,1841
997,4611;62,96296;21,12029
1000,471;70,37037;21,19001
1003,486;74,07407;21,12635
1006,505;74,07407;21,19546
1009,513;77,77778;21,39646
1012,525;77,77778;21,33281
1015,532;70,37037;21,40093
1018,537;77,77778;21,3378
1021,551;77,77778;21,40536
1024,556;70,37037;21,47273
1027,572;70,37037;21,4097
1030,581;59,25926;21,47655
1033,59;62,96296;21,67203
1036,596;62,96296;21,73782
1039,613;70,37037;21,67474
1042,634;66,66666;21,73981
1045,649;66,66666;21,67712
1048,655;66,66666;21,86929
1051,669;66,66666;21,8066
1054,681;66,66666;21,87075
1057,692;66,66666;21,93454
1060,695;59,25926;21,87244
1063,71;62,96296;21,81046
1066,711;62,96296;21,7491
1069,715;66,66666;21,68801
1072,719;66,66666;21,62729
1075,733;66,66666;21,5667
1078,737;66,66666;21,63023
1081,738;66,66666;21,57022
1084,75;66,66666;21,51034
1087,767;66,66666;21,57324
1090,789;66,66666;21,63572
1093,811;70,37037;21,57593
1096,891;70,37037;21,63691
1099,897;70,37037;21,57777
1102,9;70,37037;21,63993
1105,921;74,07407;21,82194
1108,939;77,77778;21,76255
1111,943;77,77778;21,94358
1114,943;77,77778;22,0041
1117,967;74,07407;21,9446
1120,967;74,07407;21,88586
1123,984;70,37037;21,82711
1127,002;59,25926;21,88698
1130,02;70,37037;21,82852
1133,029;77,77778;22,00592
1136,039;77,77778;21,9476
1139,048;74,07407;21,88963
1142,048;77,77778;21,83213
1145,056;74,07407;21,77477
1148,057;74,07407;21,71786
1151,074;74,07407;21,66093
1154,09;74,07407;21,71986
1157,103;74,07407;21,77853
1160,115;74,07407;21,72199
1163,126;74,07407;21,89501
1166,129;74,07407;21,95298
1169,138;70,37037;22,01052
1172,148;70,37037;21,95399
1175,167;70,37037;22,01105
1178,19;70,37037;21,95458
1181,204;74,07407;21,89856
1184,231;74,07407;21,95518
1187,233;74,07407;22,01196
1190,233;74,07407;22,06851
1193,234;74,07407;22,23649
1196,25;74,07407;22,29189
1199,255;81,48148;22,23602
1202,257;81,48148;22,29141
1205,26;77,77778;22,23587
1208,268;74,07407;22,29085
1211,277;74,07407;22,23549
1214,3;74,07407;22,18014
1217,305;74,07407;22,12538
1220,311;70,37037;22,18013
1223,32;70,37037;22,23457
1226,353;70,37037;22,28831
1229,36;70,37037;22,34225
1232,377;48,14815;22,50393
1235,397;44,44444;22,44892
1238,411;48,14815;22,39429
1241,434;66,66666;22,33976
1244,437;70,37037;22,28585
1247,46;70,37037;22,33873
1250,475;70,37037;22,39149
1253,487;48,14815;22,33769
1256,5;51,85185;22,28413
1259,503;48,14815;22,33685
1262,506;48,14815;22,38933
1265,524;44,44444;22,33595
1268,526;44,44444;22,3882
1271,532;44,44444;22,33527
1274,547;48,14815;22,28242
1277,605;48,14815;22,22909
1280,625;48,14815;22,28079
1283,635;51,85185;22,33241
1286,653;51,85185;22,28003
1289,653;51,85185;22,33159
1292,66;51,85185;22,27964
1295,663;51,85185;22,228
1298,667;51,85185;22,27925
1301,668;51,85185;22,33033
1304,679;51,85185;22,38098
1307,701;51,85185;22,53319
1310,706;51,85185;22,58325
1313,719;44,44444;22,73444
1316,739;44,44444;22,6823
1319,739;44,44444;22,63073
1322,749;51,85185;22,57924
1325,752;40,74074;22,5281
1328,764;44,44444;22,47703
1331,775;40,74074;22,42621
1334,789;48,14815;22,37558
1337,79;62,96296;22,42505
1340,799;51,85185;22,37471
1343,801;55,55556;22,32473
1346,803;55,55556;22,27497
1349,809;55,55556;22,22537
1352,823;55,55556;22,37296
1355,845;51,85185;22,32311
1358,845;51,85185;22,27382
1361,845;51,85185;22,22475
1364,854;55,55556;22,17575
1367,867;55,55556;22,12691
1370,874;55,55556;22,27289
1373,883;55,55556;22,22412
1376,907;51,85185;22,27214
1379,927;51,85185;22,2234
1382,944;55,55556;22,46416
1385,945;55,55556;22,51172
1388,965;62,96296;22,46278
1391,967;62,96296;22,51011
1394,981;59,25926;22,46148
1398,002;44,44444;22,50831
1401,014;40,74074;22,5551
1404,03;40,74074;22,60161
1407,047;40,74074;22,55315
1410,054;40,74074;22,50505
1413,057;40,74074;22,45721
1416,059;44,44444;22,40962
1419,074;44,44444;22,45595
1422,108;40,74074;22,40806
1425,128;44,44444;22,36056
1428,147;40,74074;22,3133
1431,17;33,33333;22,26616
1434,187;37,03704;22,31229
1437,199;37,03704;22,3583
1440,222;40,74074;22,49653
1443,234;40,74074;22,44958
1446,253;44,44444;22,40272
1449,265;48,14815;22,35615
1452,27;44,44444;22,3099
1455,285;37,03704;22,26369
1458,313;37,03704;22,30888
1461,333;33,33333;22,35402
1464,333;37,03704;22,39927
1467,373;37,03704;22,35287
1470,384;33,33333;22,30709
1473,399;37,03704;22,35195
1476,41;40,74074;22,39668
1479,432;37,03704;22,35091
1482,448;40,74074;22,30545
1485,46;37,03704;22,26022
1488,467;33,33333;22,30482
1491,476;37,03704;22,25983
1494,496;40,74074;22,21484
1497,506;37,03704;22,17019
1500,521;37,03704;22,12564
1503,534;37,03704;22,16999
1506,566;37,03704;22,12537
1509,576;37,03704;22,08126
1512,576;37,03704;22,1256
1515,597;33,33333;22,08151
1518,611;33,33333;22,03768
1521,627;33,33333;21,994
1524,632;33,33333;21,95065
1527,652;33,33333;21,90726
1530,671;40,74074;21,95116
1533,68;40,74074;21,90809
1536,681;44,44444;21,8653
1539,691;33,33333;21,82256
1542,693;40,74074;21,78009
1545,708;33,33333;21,73761
1548,726;37,03704;21,69525
1551,768;33,33333;21,82457
1554,778;37,03704;21,86807
1557,783;40,74074;21,82588
1560,803;40,74074;21,78366
1563,813;37,03704;21,74173
1566,83;40,74074;21,78497
1569,838;40,74074;21,74323
1572,948;44,44444;21,785
1575,968;40,74074;21,74325
1578,99;44,44444;21,78608
1581,991;51,85185;21,91331
1584,993;51,85185;21,95593
1588,006;48,14815;21,91428
1591,009;51,85185;21,87291
1594,015;62,96296;21,83166
1597,025;74,07407;21,79051
1600,036;74,07407;21,74951
1603,053;74,07407;21,70858
1606,067;74,07407;21,66784
1609,086;74,07407;21,62719
1612,087;74,07407;21,58693
1615,098;74,07407;21,62923
1618,122;74,07407;21,58881
1621,141;74,07407;21,63086
1624,156;74,07407;21,5907
1627,175;74,07407;21,55064
1630,179;74,07407;21,51093
1633,189;74,07407;21,55292
1636,205;74,07407;21,59469
1639,211;74,07407;21,55508
1642,224;74,07407;21,59673
1645,24;74,07407;21,55714
1648,24;74,07407;21,5179
1651,241;74,07407;21,4788
1654,265;74,07407;21,43953
1657,286;74,07407;21,40045
1660,307;74,07407;21,36151
1663,318;74,07407;21,40301
1666,331;74,07407;21,52434
1669,344;74,07407;21,48549
1672,348;74,07407;21,52662
1675,372;70,37037;21,56735
1678,372;70,37037;21,68768
1681,383;70,37037;21,64885
1684,395;70,37037;21,61014
1687,397;70,37037;21,57169
1690,403;70,37037;21,53333
1693,413;70,37037;21,65252
1696,428;70,37037;21,77124
1699,434;70,37037;21,81118
1702,438;70,37037;21,77269
1705,451;70,37037;21,73424
1708,457;70,37037;21,69599
1711,478;70,37037;21,7356
1714,488;70,37037;21,7752
1717,507;70,37037;21,73693
1720,522;70,37037;21,85384
1723,524;70,37037;21,81577
1726,546;70,37037;21,85481
1729,554;70,37037;21,8939
1732,561;70,37037;21,93285
1735,564;66,66666;21,8949
1738,573;40,74074;21,857
1741,594;70,37037;21,89565
1744,616;70,37037;21,85773
1747,631;74,07407;21,82001
1750,631;74,07407;21,78262
1753,638;74,07407;21,74527
1756,655;74,07407;21,70793
1759,675;74,07407;21,67067
1762,689;77,77778;21,63361
1765,765;74,07407;21,59593
1768,776;74,07407;21,70993
1771,792;74,07407;21,82348
1774,806;74,07407;21,78642
1777,826;70,37037;21,74941
1780,84;74,07407;21,78747
1783,844;74,07407;21,75078
1786,849;74,07407;21,7142
1789,869;74,07407;21,67756
1792,882;74,07407;21,64113
1795,892;74,07407;21,60486
1798,92;70,37037;21,71673
1801,925;70,37037;21,68052
1804,937;74,07407;21,86595
1807,944;74,07407;21,90334
1810,946;74,07407;21,94065
1813,947;77,77778;21,90436
1816,95;77,77778;21,86814
1819,978;77,77778;21,90503
1822,999;77,77778;21,86873
1826;81,48148;21,9058
1829,01;81,48148;22,08845
1832,038;81,48148;22,05194
1835,043;77,77778;22,08849
1838,06;77,77778;22,05224
1841,063;59,25926;22,01627
1844,065;59,25926;22,05273
1847,08;59,25926;22,16111
1850,097;59,25926;22,12497
1853,107;59,25926;22,08903
1856,123;74,07407;22,12497
1859,138;74,07407;22,0891
1862,148;77,77778;22,05338
1865,175;77,77778;22,01759
1868,182;59,25926;21,98215
1871,202;66,66666;21,94667
1874,22;77,77778;21,91134
1877,295;77,77778;21,87545
1880,312;66,66666;21,91126
1883,316;77,77778;22,0179
1886,325;77,77778;22,12415
1889,345;81,48148;22,08879
1892,355;81,48148;22,12411
1895,374;81,48148;22,08887
1898,38;81,48148;22,19436
1901,386;85,18519;22,15927
1904,401;70,37037;22,12419
1907,428;62,96296;22,08908
1910,435;48,14815;22,05432
1913,448;48,14815;22,01958
1916,473;48,14815;21,98484
1919,481;51,85185;21,95038
1922,484;51,85185;21,91609
1925,496;51,85185;22,0203
1928,499;51,85185;21,98601
1931,514;51,85185;21,95169
1934,517;44,44444;21,91761
1937,52;48,14815;21,88365
1940,525;44,44444;21,84976
1943,541;51,85185;21,81586
1946,55;81,48148;21,85063
1949,557;81,48148;21,81692
1952,567;77,77778;21,91986
1955,573;77,77778;21,88617
1958,574;77,77778;21,85263
1961,587;77,77778;21,88704
1964,604;81,48148;21,9213
1967,623;81,48148;21,88766
1970,657;77,77778;21,98928
1973,663;81,48148;22,02335
1976,683;81,48148;21,9897
1979,701;74,07407;22,02352
1982,718;77,77778;21,99002
1985,737;77,77778;22,02373
1988,752;66,66666;21,99034
1991,762;81,48148;21,9571
1994,779;81,48148;21,9239
1997,785;81,48148;21,89091
2000,793;81,48148;21,858
2003,809;81,48148;21,8251
2006,817;81,48148;21,85883
2009,822;81,48148;21,89249
2012,825;81,48148;21,92606
2015,843;81,48148;21,89324
2018,846;81,48148;21,92672
2021,853;81,48148;22,026
2024,877;74,07407;22,05895
2027,88;77,77778;22,02628
2030,892;77,77778;21,99362
2033,916;74,07407;21,96092
2036,93;81,48148;21,92843
2039,937;85,18519;22,02683
2042,945;85,18519;21,99439
2045,968;81,48148;22,09223
2048,972;81,48148;22,12491
