seed;1425475295
size;74,92971;198,2944
number of AGVs;30
number of APs;15
number of obstacles;91

Logs:
2,980525;96,66666;0
5,981096;96,66666;0
8,983251;96,66666;0
11,98785;90;0
14,98924;90;0
17,98937;90;0
20,99216;90;0
23,99489;90;0
26,99708;90;0
29,99825;86,66666;0
33,00118;90;0
36,00661;90;0
39,00805;90;0
42,01208;90;0
45,01796;93,33334;0
48,01966;86,66666;0
51,02126;83,33334;0
54,0248;83,33334;0
57,02931;83,33334;0
60,03373;83,33334;0
63,03888;80;0
66,04147;83,33334;0
69,04403;83,33334;0
72,04531;83,33334;0
75,05206;80;0
78,05616;83,33334;0
81,05774;83,33334;0
84,06518;86,66666;1,427464
87,07008;86,66666;2,756401
90,07378;83,33334;2,664483
93,07831;83,33334;2,578474
96,09433;80;2,497546
99,09503;80;2,421918
102,095;80;2,350751
105,1013;80;2,283511
108,1021;80;2,220123
111,1048;80;2,160123
114,1093;83,33334;3,154871
117,1093;83,33334;4,098734
120,1137;83,33334;3,996213
123,117;86,66666;4,873415
126,1204;86,66666;4,757357
129,1264;83,33334;4,646611
132,1271;83,33334;4,541082
135,1315;83,33334;4,440119
138,132;76,66666;4,343671
141,1357;76,66666;5,951718
144,1376;76,66666;7,492841
147,1414;76,66666;8,155417
150,145;76,66666;9,59073
153,1504;76,66666;9,402521
156,1545;76,66666;9,990108
159,1557;73,33334;10,5557
162,1568;73,33334;11,10037
165,1605;70;10,89849
168,1621;80;11,41755
171,1669;80;11,21712
174,1698;76,66666;11,02372
177,1736;80;11,51413
180,1738;80;13,98649
183,1811;76,66666;15,06706
186,1855;76,66666;14,82393
189,1858;76,66666;14,58883
192,1915;76,66666;14,98505
195,1928;76,66666;15,36942
198,1942;73,33334;15,13667
201,1959;76,66666;15,50727
204,2006;73,33334;15,27909
207,2021;76,66666;15,63691
210,2073;80;16,55509
213,2129;80;17,44735
216,2178;76,66666;17,75986
219,2191;76,66666;17,51672
222,2249;76,66666;17,27979
225,2272;76,66666;17,04945
228,2295;76,66666;16,82517
231,2305;76,66666;16,6068
234,2328;73,33334;16,39395
237,2338;73,33334;16,69239
240,2378;76,66666;16,48366
243,2437;76,66666;16,77331
246,2492;76,66666;17,05589
249,2535;73,33334;17,33175
252,2553;76,66666;17,12551
255,2563;76,66666;17,86439
258,2575;76,66666;18,5861
261,2633;73,33334;18,83158
264,2682;73,33334;19,07153
267,2708;73,33334;18,85728
270,2726;73,33334;19,09184
273,2738;73,33334;18,88216
276,2761;70;18,67697
279,2821;70;18,47594
282,288;70;18,2792
285,2897;73,33334;18,08688
288,2912;73,33334;17,89857
291,2944;70;17,71404
294,2954;70;17,94116
297,3013;66,66666;17,75976
300,3064;66,66666;17,58204
303,3084;66,66666;17,40802
306,3125;70;17,2373
309,3179;70;17,45777
312,3208;70;18,05836
315,3246;66,66666;18,64745
318,3287;66,66666;18,84844
321,332;66,66666;19,41917
324,3342;70;19,6094
327,3348;70;19,42965
330,3375;70;19,25304
333,3427;70;19,07946
336,3456;70;18,90912
339,3488;70;18,74178
342,3527;70;18,57733
345,3571;70;18,76319
348,3585;70;18,60153
351,3591;70;18,44267
354,3599;70;18,62513
357,3606;70;18,46874
360,3653;70;18,98074
363,366;66,66666;19,15424
366,37;66,66666;18,99719
369,3741;66,66666;18,84268
372,3781;66,66666;18,69068
375,3826;66,66666;19,18043
378,3864;66,66666;19,02817
381,3893;66,66666;19,19299
384,3948;66,66666;19,04292
387,398;66,66666;18,89529
390,4;66,66666;19,05738
393,4106;66,66666;18,91154
396,4135;66,66666;18,76828
399,4163;66,66666;18,62718
402,4205;66,66666;19,08451
405,4239;66,66666;18,94314
408,4327;66,66666;18,80359
411,4347;66,66666;18,66639
414,4368;66,66666;18,82072
417,4381;66,66666;18,6854
420,442;66,66666;18,55191
423,4485;66,66666;18,70358
426,4495;66,66666;19,13474
429,4519;66,66666;19,28039
432,4556;66,66666;19,42396
435,4584;66,66666;19,56559
438,4584;66,66666;19,97909
441,4638;66,66666;19,84308
444,4657;66,66666;19,97904
447,4691;66,66666;19,84495
450,4693;73,33334;19,97916
453,4703;76,66666;19,84695
456,4724;83,33334;19,71642
459,4725;83,33334;19,84885
462,4757;73,33334;19,97943
465,4794;73,33334;19,8505
468,4836;83,33334;19,72321
471,4889;86,66666;20,10652
474,489;86,66666;20,23229
477,4934;83,33334;20,10499
480,4958;83,33334;19,97936
483,496;73,33334;20,10358
486,4998;76,66666;19,97946
489,5009;76,66666;19,85696
492,5023;70;19,73595
495,5061;70;19,85848
498,5079;73,33334;19,7389
501,5102;66,66666;20,09929
504,5145;70;19,9796
507,5175;70;19,86139
510,5188;73,33334;19,74462
513,5229;73,33334;19,62912
516,5265;73,33334;19,51497
519,5289;73,33334;19,40219
522,5349;73,33334;19,74988
525,5389;73,33334;19,63699
528,5438;70;19,75238
531,5457;73,33334;19,64083
534,5461;73,33334;19,75508
537,5469;73,33334;19,86803
540,547;73,33334;19,97976
543,5511;73,33334;19,86934
546,5522;73,33334;19,9798
549,5543;73,33334;19,87065
552,5585;73,33334;19,76261
555,5598;73,33334;19,65585
558,5646;73,33334;19,55011
561,5694;73,33334;19,4455
564,5722;73,33334;20,19228
567,5725;73,33334;20,08554
570,574;73,33334;20,19019
573,5792;73,33334;20,50283
576,5845;73,33334;20,39597
579,5876;73,33334;20,70438
582,5878;73,33334;20,59775
585,5929;70;20,49205
588,5959;73,33334;20,79525
591,5964;73,33334;20,68978
594,5978;73,33334;20,58534
597,5981;73,33334;20,48199
600,6034;70;20,37951